Token_ID_Greek,Token_Greek,Gospel,Token_ID_Armenian,Token_Armenian,Function,comment,Location,Greek_found,Armenian_found,where_found
347368.0,ἀλλὰ,JOHN,805182.0,aył,SUBST,,6.38,1,1,both_langs
347394.0,ἀλλὰ,JOHN,859030.0,aył,SUBST,,6.39,1,1,both_langs
,,JOHN,858716.0,aył,ADVER,Greek word gap,6.6,0,1,only_Arm
346762.0,ἀλλὰ,JOHN,804629.0,aył,ADVER,,6.9,1,1,both_langs
348222.0,ἀλλ’,JOHN,853480.0,aył,SUBST,,7.10,1,1,both_langs
348319.0,ἀλλὰ,JOHN,806008.0,aył,SUBST,,7.16,1,1,both_langs
348435.0,ἀλλ’,JOHN,806125.0,aył,SUBST,,7.22,1,1,both_langs
348475.0,ἀλλὰ,JOHN,806164.0,aył,SUBST,,7.24,1,1,both_langs
348516.0,ἀλλὰ,JOHN,806203.0,Aył,ADVER,,7.27,1,1,both_langs
348558.0,ἀλλ’,JOHN,806242.0,aył,SUBST,,7.28,1,1,both_langs
,,JOHN,806497.0,Ayłkʻ,UNID,,7.41,0,1,only_Arm
348877.0,ἀλλ’,JOHN,806550.0,aył,ADVER,,7.44,1,1,both_langs
348944.0,ἀλλὰ,JOHN,806616.0,ayl,ADVER,,7.49,1,1,both_langs
349449.0,ἀλλ’,JOHN,806783.0,ayl,SUBST,,8.12,1,1,both_langs
349539.0,ἀλλ’,JOHN,806868.0,aył,SUBST,,8.16,1,1,both_langs
349765.0,ἀλλ’,JOHN,807081.0,aył,ADVER,?,8.26,1,1,both_langs
349817.0,ἀλλὰ,JOHN,807132.0,ayl,SUBST,,8.28,1,1,both_langs
349966.0,ἀλλὰ,JOHN,807265.0,aył,ADVER,,8.37,1,1,both_langs
,,JOHN,807318.0,aył,ADVER,,8.40,0,1,only_Arm
350105.0,ἀλλ’,JOHN,807392.0,aył,SUBST,,8.42,1,1,both_langs
350263.0,ἀλλὰ,JOHN,807531.0,ayl,SUBST,,8.49,1,1,both_langs
350418.0,ἀλλὰ,JOHN,807678.0,aył,ADVER,,8.55,1,1,both_langs
350795.0,ἄλλοι,JOHN,,,UNID,,9.16,1,0,only_Gr
